year,property_type_label,build_type,median_price,avg_price,total_sales,date
2015,Flat/Maisonette,New Build,240000.0,337257.47702702705,34780,2015-01-01
2015,Other,Existing,342500.0,883677.078539502,17227,2015-01-01
2015,Other,New Build,158750.0,390533.4658273381,556,2015-01-01
2015,Semi-Detached,Existing,178000.0,228644.60420166625,233336,2015-01-01
2015,Semi-Detached,New Build,190000.0,220700.73229101722,20851,2015-01-01
2015,Terraced,Existing,160000.0,219892.96391329262,273979,2015-01-01
2015,Terraced,New Build,189995.0,235077.0932841402,20057,2015-01-01
2016,Detached,Existing,305500.0,386135.81017269625,202031,2016-01-01
2016,Detached,New Build,306995.0,350028.30821731646,33113,2016-01-01
2016,Flat/Maisonette,Existing,187000.0,262752.7478150584,166366,2016-01-01
2016,Flat/Maisonette,New Build,260000.0,370619.8902562451,43474,2016-01-01
2016,Other,Existing,269000.0,697902.0524688658,34287,2016-01-01
2016,Other,New Build,56700.0,141972.82541029993,3534,2016-01-01
2016,Semi-Detached,Existing,185000.0,238365.5981529977,237899,2016-01-01
2016,Semi-Detached,New Build,205995.0,233153.6801149976,20870,2016-01-01
2016,Terraced,Existing,165000.0,225467.19598942986,269438,2016-01-01
2016,Terraced,New Build,210000.0,256787.42969886935,17866,2016-01-01
2017,Detached,Existing,315000.0,397898.99134876934,75365,2017-01-01
2017,Detached,New Build,319950.0,354427.7936606588,6436,2017-01-01
2017,Flat/Maisonette,Existing,190000.0,269624.7583639882,57359,2017-01-01
2017,Flat/Maisonette,New Build,292225.0,397489.6282588454,8592,2017-01-01
2017,Other,Existing,267225.0,684107.7341766017,20634,2017-01-01
2017,Other,New Build,58500.0,156147.63898500576,867,2017-01-01
2017,Semi-Detached,Existing,190000.0,243850.84652134965,93772,2017-01-01
2017,Semi-Detached,New Build,209995.0,238609.953665114,4079,2017-01-01
2017,Terraced,Existing,165000.0,228516.87401544178,102838,2017-01-01
2017,Terraced,New Build,212000.0,254192.83882315317,3127,2017-01-01
